Neighborhood,School,Gym,Bar,Shop,Park
La Pradera.,0,0,1,1,0
La Sierra.,0,1,0,0,1
Las Colinas.,0,0,0,1,0
Las Estrellas.,0,0,1,1,1
Las Malvinas.,1,0,1,0,0
Las Mercedes Sur.,1,0,0,0,1
Las Terrazas.,1,1,0,1,1
Lipaya.,0,1,0,1,0
Loma Fresca.,0,0,0,0,1
Los Andes.,1,0,1,1,1
Los Olivos I.,1,0,0,0,0
Los Olivos II.,1,1,0,1,1
Los Pinos.,1,0,0,0,0
Los Rosales.,0,0,0,1,0
Lucero,0,0,1,0,0
Mequejo.,0,0,0,0,0
Olaya,0,1,1,0,1
San Felipe,0,1,1,1,1
San Isidro,1,1,1,0,0
El Por Fin,1,0,0,1,0
Alfonso López,0,1,1,0,0
Atlántico.,0,0,1,0,1
Bella Arena.,0,1,1,0,1
Boyacá.,1,0,1,1,1
Chiquinquirá.,0,0,1,1,0
El Campito.,0,1,1,0,1
El Limón.,1,1,1,0,0
El Milagro.,0,1,1,1,1
José Antonio Galán.,0,1,1,1,1
La Alboraya.,1,1,0,0,1
La Chinita.,1,1,0,0,1
La Luz.,1,0,0,0,1
La Magdalena.,0,1,0,1,1
La Unión.,1,1,1,0,1
La Victoria.,1,1,0,1,0
Las Dunas.,0,1,1,0,1
Las Nieves.,0,0,0,1,1
Las Palmas.,1,0,1,0,1
Las Palmeras.,0,1,0,1,1
Los Laureles.,1,1,0,1,1
Los Trupillos.,1,0,1,1,1
Moderno.,0,1,1,0,1
Montes.,0,1,0,1,1
Pasadena.,1,0,1,0,1
Primero de Mayo.,1,0,1,1,1
Rebolo.,0,1,1,1,1
San José.,0,0,1,0,1
San Nicolás.,0,1,0,1,0
San Roque.,0,1,0,0,1
Santa Helena.,0,0,0,0,0
Simón Bolívar.,0,0,1,0,0
Tayrona.,1,1,1,1,1
Universal I y II.,0,1,0,0,1
Villa Blanca.,0,1,1,1,1
Villa del Carmen.,0,1,1,1,1
Zona Franca.,0,1,1,0,1
