Neighborhood,kWh per month
La Floresta.,"[341.77856664 134.00553476 163.229516   316.88099142 167.43970913
 352.11194879 328.50959453 445.06613027 132.27594957 418.45230228
 452.02815294 277.24008618 130.21577082 396.50666182 427.07961145
 111.41059142 132.20599767 341.34905097 217.80556317 160.40593989
 318.17791459 265.15280773 420.53251043 431.72132512 123.86996859
 157.83152316 422.07468697 247.90245821 389.02109834 335.25993119
 178.27819344 251.97649263 441.20604837 352.44364707 495.5636084
 289.53554935]"
Las Flores.,"[473.62508352 479.22738633 475.79375483 391.48221972 299.21669502
 472.70364671 225.50114922 489.13294919 198.24645353 445.28770757
 491.97148123 225.01019357 366.58909446 201.15062292 394.71178612
 413.72511568 235.55526942 185.87605449 254.79023779 366.46550905
 219.41090173 324.74718475 272.02864456 167.65358308 189.09319327
 248.69266503 310.6458977  239.14628804 290.43687368 449.46220485
 494.66844558 110.22174524 284.89740476 282.11704079 357.21379845
 367.8026077 ]"
Las Tres Avemarías.,"[143.31588052 325.92104113 274.39831353 432.67348479 284.79224988
 325.77933437 187.57592095 173.26233262 120.81627342 425.05993093
 125.55787621 421.28811427 210.43981444 438.13291548 143.53476802
 371.89108693 255.92901122 197.42867728 492.5849017  238.97051871
 472.25282879 151.5415402  187.51394128 249.39280715 233.12159553
 298.57680735 223.07458403 272.88879506 115.68804186 426.13807771
 282.19513905 162.24532157 242.17682311 156.60114533 364.99820229
 184.81199225]"
Miramar.,"[194.15009548 338.55678963 147.95486685 385.70862786 188.32274504
 499.85198736 337.54912079 430.48907695 357.98472159 240.41866486
 316.19703317 174.61189116 420.97412137 134.45404615 275.96461783
 196.71103411 194.03062426 332.05626925 394.19916754 391.61765206
 241.97505543 202.68440086 384.57281118 407.98441871 340.88349301
 299.07894225 358.94468147 241.05037711 142.00179651 339.27968545
 233.96840721 391.70204545 459.16039332 474.31479388 242.83632448
 101.84738202]"
Paraíso.,"[397.16662815 151.98472409 253.74841    266.86597162 205.80430346
 182.90684406 218.39736106 224.12537338 200.14400291 453.94559205
 109.22598563 245.83397483 147.41777402 400.81676441 200.49863205
 132.32795758 208.97591019 169.20394999 242.94551597 229.10812484
 331.35761939 278.15332293 461.10962134 457.55007293 242.41543699
 112.4319772  449.16283478 351.73564915 227.06009772 364.42204142
 126.02542201 284.63910817 235.27035409 425.95374123 423.86951605
 242.04116946]"
Riomar.,"[355.69331884 148.51233199 283.78353713 314.43600959 114.36262738
 313.82703176 102.43373596 472.7021643  335.75498231 231.87896238
 302.99637866 265.28249437 174.6348739  399.90681152 404.36520456
 268.93891873 381.04592506 455.76763492 322.76202646 316.12093149
 446.86973782 366.88933326 489.06925965 172.37196159 334.77478995
 235.92861832 474.8426536  138.2937354  189.51423237 142.79521092
 441.36678919 156.1842887  447.19353789 252.57626743 276.80370515
 446.83079441]"
San Marino.,"[208.51389799 336.49658448 495.37631012 178.25681725 307.07911272
 181.76876861 105.04631596 310.20301543 473.64087338 265.04571522
 255.79963766 432.73957033 230.63341772 261.20933235 473.37832079
 418.17726946 297.88804645 282.54894875 360.23638809 178.61640745
 340.67154928 393.87571019 233.99687256 154.55837788 195.49601553
 405.02774188 280.13528306 498.73464893 112.05094014 245.92489164
 189.18336346 485.38392907 209.48503096 313.32212684 140.48713609
 133.40565191]"
San Salvador.,"[270.48810963 162.18424898 203.46804114 309.56394356 273.87450814
 257.83118724 284.79512075 359.65241761 123.1769911  347.93528839
 112.26641246 216.38618485 240.47921159 424.30395394 281.30981564
 133.02349047 433.88166732 341.53700862 205.29507171 272.1057602
 252.83374842 306.02692991 138.5897698  459.36909029 275.66522467
 157.56442448 209.73979433 210.80519268 465.58007692 213.38615156
 125.34613971 106.90061506 100.70094507 333.06236678 100.33487411
 452.14973822]"
San Vicente.,"[284.69812069 172.5721331  369.39360125 107.65436694 123.94034503
 169.82519111 285.01450475 320.79163086 434.01200804 411.41887658
 140.91172576 393.92164646 159.18120109 170.62351823 343.14645381
 145.70104769 262.10927932 205.81979752 131.54681262 467.86906407
 386.81894695 267.28199765 420.15406769 312.00040536 243.76065853
 372.58095185 471.72903504 476.26070652 432.44959898 436.16782235
 130.29164643 168.84903182 428.6711678  273.08352391 441.75245085
 359.54392792]"
Santa Mónica.,"[236.61216229 128.9705789  473.90992318 109.04752687 376.88876745
 400.6502914  486.5129532  184.17798764 249.17078792 376.78555779
 127.08289314 189.70671037 415.07832105 413.84865468 241.45749869
 267.41840985 463.67662647 196.73315073 187.49034956 339.07052463
 437.77484134 489.53989391 468.95519854 467.58264181 434.79464871
 163.71376933 397.65584894 148.95756378 163.79889622 354.21256933
 108.10361994 325.16723979 327.98026114 114.92166897 424.15924875
 188.71787057]"
Siape.,"[187.13952381 449.6742977  213.44697735 128.96557538 215.85539307
 375.96011446 437.13038294 359.86604474 345.14291844 237.15653811
 196.32341722 370.54997591 234.46427535 325.12314392 322.32444965
 401.87846578 371.58972968 241.21340703 213.30194453 182.44784788
 199.13894765 436.32349712 174.26671177 475.12772469 422.84262141
 466.15860792 446.6990715  483.12052408 113.24226766 441.85708906
 316.53501495 470.34057751 227.35202457 126.16002502 300.32541049
 162.3783914 ]"
Solaire.,"[207.75158795 408.56999651 227.46006587 428.24920115 239.93319032
 124.82932303 425.42148513 272.60625462 400.25948479 286.56724861
 196.99549911 231.79342092 104.74695867 357.29139398 220.24801289
 100.13266545 362.63497339 438.01573716 488.75460185 133.63330931
 237.27352494 192.69337022 145.48156527 165.54738611 427.18091229
 447.06026    234.69513408 301.61821261 360.51487375 133.17135443
 290.11145356 121.02149734 414.92399641 284.00069042 254.90628562
 120.19274878]"
Urbanización Eduardo santos la playa.,"[233.01278307 422.36853184 183.2503486  294.50220171 415.29981027
 494.39418354 406.33874603 310.29524691 302.82681954 130.77613016
 305.95843399 147.40062337 101.65741707 299.51915166 119.8870507
 143.19293791 446.31374002 444.99785488 446.8426205  282.75661947
 328.1552484  272.0736275  217.95703723 447.94128756 268.31870809
 114.31770003 371.03343943 382.17220512 359.51743974 238.87017551
 100.52170123 401.15735721 159.67122267 277.33360135 303.85074444
 292.4575776 ]"
Villa Campestre.,"[385.22508408 168.6111895  492.06300595 440.69023765 284.02226112
 279.29665315 261.88405968 479.91502989 336.75991582 175.95056018
 205.45954073 210.33961696 272.34412286 285.96741655 281.58693508
 338.58769488 497.22316516 121.35371208 417.69803492 195.10821288
 496.44964361 231.25095585 216.85104665 211.79381302 174.53093388
 464.86550217 395.72635926 198.83361871 470.03594123 153.8578615
 270.11165732 305.55709769 324.32201584 442.2000248  143.40684965
 336.77739119]"
Villa Carolina.,"[288.70288446 212.34513834 401.04890424 200.99629414 351.03380115
 255.97037228 307.29972499 296.99911047 141.86961128 380.95034087
 408.1070368  386.54540487 358.89290955 224.47145011 284.91084266
 303.3059705  122.67161624 332.35828512 439.44635156 401.85982317
 278.45089272 151.2490653  459.25252417 467.00816489 369.76647245
 154.20320296 206.22916569 202.61146103 478.24263262 252.80954205
 176.45994416 102.63351342 418.63885482 375.68259301 480.01138159
 481.89803738]"
Villa del Este.,"[374.7210587  478.70572576 466.34842096 302.6556543  241.41601865
 426.20297199 173.30423508 136.40224068 203.35825207 291.48017428
 432.88780981 236.39039821 326.03717636 357.74559664 416.65572813
 256.51375209 170.79868368 248.67863631 295.86202836 456.29854645
 313.79625028 307.9605553  416.94804739 352.77310282 201.2025667
 208.79947446 267.88687655 311.7356933  278.2048866  410.36787399
 496.6837445  412.89523453 303.24407816 314.97014786 381.15572476
 289.96184074]"
Villa Santos.,"[444.93047959 435.421752   456.7367162  207.0353195  443.98849831
 421.47379955 481.42032059 265.20105758 179.45762052 224.44900214
 137.77755266 271.4977254  113.26507588 128.4199097  106.35239939
 349.01992211 377.17948432 115.79116083 412.51086183 134.4285966
 376.71755377 242.44565471 123.27868808 391.97187365 316.11606707
 149.62814333 174.63381576 386.97588249 102.63181599 414.24647651
 455.18479386 184.20360384 251.4907922  376.34375341 125.91639834
 402.23408525]"
Villamar.,"[206.475576   125.90911842 457.12436608 287.67162627 278.51979757
 344.6639665  295.70644456 354.49193015 445.58813941 318.9368051
 274.07718208 444.42850604 426.30526336 399.3994627  326.92360404
 390.93655885 221.98803748 424.54136968 181.87531    474.59260161
 128.94059405 245.72859287 391.40094412 206.33746822 141.10455024
 215.23291206 469.40911687 277.04658371 308.87342754 450.97071921
 418.98300321 450.91272523 231.95500576 155.30952041 186.60190372
 105.89321747]"
Villas del Puerto.,"[290.65507935 489.47681079 329.3698405  461.97385829 409.47611463
 326.65516557 463.34306979 368.23676227 385.31808271 336.82665479
 293.70482854 253.44641035 113.70710767 138.56336756 366.50312338
 478.40002837 409.57318866 195.68714134 151.8127921  130.97642988
 447.35030977 138.04862782 405.34280076 331.94800994 350.00701539
 218.04580988 431.6339765  469.53952643 418.13257156 427.92102859
 177.76016849 411.97133792 452.91158246 272.33450317 111.74693441
 475.92566353]"
América.,"[328.28997858 448.75865514 371.56970227 175.23038867 305.02621237
 440.58395071 464.68587146 186.33870983 136.91626586 171.98283429
 323.78819437 487.84292351 461.23865597 202.99067049 471.1680409
 383.36979347 273.52365311 136.3297312  467.19226773 403.5799141
 187.49719798 361.71131216 496.17966087 116.64653578 139.64399407
 460.14982468 486.09191722 308.58685357 278.41443272 126.48527934
 152.399566   395.70871086 402.12642579 313.78634016 417.16506555
 103.36948204]"
Barlovento.,"[215.96602225 446.90058512 283.881911   139.77106112 442.59593298
 144.23147847 264.12703976 273.76572675 375.64044229 311.75368208
 431.03897521 424.15830965 160.82415934 484.07719896 146.93672031
 366.04967096 366.58269616 262.39196881 206.92023257 231.4629578
 293.92114199 288.76061858 393.04858835 317.39215231 319.14310392
 378.97900295 269.51801081 158.08515493 451.72442383 426.8615823
 274.58286016 455.01145167 184.00022386 110.06648194 158.20131217
 401.13529232]"
Barranquillita.,"[379.19668355 388.99224763 157.29511935 149.03594807 487.85144145
 194.27022616 109.73438805 191.75629554 214.46296793 210.88039276
 171.28398897 374.83904702 210.9879328  277.70313726 118.08744636
 306.40290734 396.17473832 203.84635618 100.26564201 412.30699353
 348.54995103 316.92316858 351.64646631 281.0896246  420.20383592
 193.03048814 342.91341878 238.31794952 335.39518851 195.8178003
 490.02478837 220.66129532 494.3339003  306.18802918 312.40396684
 143.27395414]"
Barrio Abajo.,"[241.71153686 279.75407853 485.84616176 172.97478886 207.53292414
 404.39556042 305.91602395 223.45171734 494.65014504 393.38164929
 297.22516129 370.43491173 448.58686018 491.47878663 308.05735051
 210.3098638  464.55607602 177.69913707 335.73766208 192.80554678
 423.06534536 341.06843948 156.46698738 493.20347509 342.52812466
 390.50397734 198.67948004 300.1747649  309.69388725 336.48989277
 301.78914459 203.81362592 338.06142411 378.75084315 203.62887899
 275.26506513]"
Bellavista.,"[113.15425077 131.3297038  355.50487319 119.17508225 274.16496794
 375.11634526 271.34698526 271.54550139 411.13671626 266.39274029
 125.43033704 329.17721244 322.92615615 118.03554259 246.33571262
 449.93059977 219.19996175 307.73814742 227.64070832 100.84251565
 164.26943085 113.22800015 478.28324072 287.7448892  357.79547625
 432.46395727 363.06955892 120.19764988 475.31584587 206.39475661
 451.70974966 214.21234086 438.45806896 487.87007285 414.51170557
 263.62925312]"
Betania.,"[383.21100193 457.44149125 233.73644036 206.64934138 329.46941352
 100.22390163 434.84376813 128.04724413 256.91393559 418.30109333
 321.85625173 499.39866707 276.01035883 480.09765983 450.41791664
 186.97418075 298.30640627 452.96345791 310.62140108 153.65868288
 473.68374833 390.81620542 245.53435517 130.3778457  227.67368046
 143.47703781 481.73762837 378.38726331 206.26353371 274.94285546
 114.0199418  409.58923372 380.72278682 254.93655529 409.40719247
 112.47026856]"
Boston.,"[201.83690764 438.13343401 118.21895957 310.12403382 271.74045269
 495.28144873 145.30332949 260.53387266 276.95117502 369.91428258
 415.58072971 419.12937997 406.82743699 463.00908509 329.90798645
 247.89753987 438.57304481 344.10899446 195.88647746 416.35969736
 490.76077765 123.61236894 133.69295505 213.99378152 110.69712947
 156.43645912 410.92808334 325.7910481  271.06704779 245.13768781
 158.75126081 496.42892222 184.81890197 177.14522797 412.50137652
 301.96852894]"
Campo Alegre.,"[165.33483453 189.17654558 130.75261494 420.30173699 185.25839667
 278.17539402 304.56022486 215.83745698 396.31270339 357.27786152
 423.71560572 382.26054725 285.93732274 471.52580095 310.54787814
 210.93803289 197.86876502 495.49951678 484.32368704 367.37941431
 395.12959477 376.86398019 339.5442437  480.6977232  301.38004306
 363.89741903 488.03991272 212.53009645 321.91642277 158.36093963
 209.26178522 220.50543786 292.09005542 463.44855404 316.39653459
 430.37570897]"
Centro.,"[403.09051548 332.00379055 247.19822505 346.20763855 400.81506464
 418.49808422 120.94653356 239.36004787 407.5670954  192.63610262
 185.61777932 154.64205672 476.78546275 232.85010649 220.3749548
 146.08654762 303.27636786 438.32113289 339.30758525 470.91311565
 155.06934544 398.85555878 447.56930025 108.43605579 189.11830863
 440.56944262 368.36169603 422.63085996 284.76224524 408.41005595
 218.76993437 258.72891585 355.16941253 367.85692217 421.51266342
 428.65344372]"
Ciudad Jardín.,"[271.24348397 477.34932429 454.71797156 345.6393763  129.15789818
 363.61640554 127.4602115  335.42152923 406.03709709 185.53151592
 210.84614191 281.87754134 301.43905189 156.24039842 191.91425624
 255.42485208 272.35138673 441.5636794  203.7148277  399.41275894
 318.33280269 306.94797793 317.48722345 291.95090663 463.02809209
 218.90967587 166.02829845 318.5676136  231.82340111 396.86522602
 177.7027439  149.078444   198.36096402 315.96536643 312.34270859
 189.57623829]"
Colombia.,"[275.18622855 156.40647218 128.63948695 165.02339453 493.4493748
 292.03146142 153.43331226 160.74869019 164.33160858 481.91849984
 374.73001385 109.53268601 350.05500459 183.14009458 233.86370961
 259.46518765 164.17105669 343.75264358 133.59190525 282.67823996
 366.50684052 467.87249906 140.5963178  176.92345313 495.05815097
 379.27400714 398.37344293 433.94939457 385.32923138 192.0658519
 246.73543114 496.68060275 475.0980859  227.90570527 296.38639763
 249.78691529]"
El Boliche.,"[390.94746292 288.56914799 339.22776525 188.38724718 258.69871156
 212.94103406 472.01436058 458.5007469  417.45905203 410.30389734
 155.61441822 109.12015195 394.33685374 325.87089328 483.63929389
 135.57558271 301.87460609 294.79827414 133.23833085 216.50633121
 434.34299205 161.40356943 369.32163933 272.52435741 216.63445974
 282.37975662 170.82880479 425.01805958 366.96318983 271.61554601
 281.31886158 494.29218613 193.12220616 172.12762619 472.75035165
 163.78182144]"
El Castillo.,"[303.10408526 208.11455693 145.51051314 441.99515126 107.38669428
 146.31868784 412.12816882 350.58680183 486.97300937 227.96825915
 153.64150998 482.92444872 277.85701582 499.82588736 308.91562163
 343.89038484 367.84790984 258.02494305 156.50203016 400.14171463
 426.94201973 315.1513456  226.12747092 479.10629973 289.83376831
 101.36621058 102.6971099  277.64930835 155.946826   192.35809143
 152.17757666 107.36311445 418.82580077 388.38213973 114.5023989
 250.99747534]"
El Porvenir.,"[363.64311965 127.7251166  128.56054803 155.18773196 372.62101016
 224.01461618 417.09265757 348.35594215 450.20717832 130.72830181
 179.07490831 402.52279037 429.86799939 197.69126568 241.51035348
 474.41708409 441.76922581 279.42426918 436.12139744 432.16436091
 482.21984915 353.81190333 112.8629204  464.74138761 484.59547961
 209.21925282 255.06018375 344.69628657 350.83988861 410.56849241
 313.32167943 169.94316212 100.31292388 147.2854418  190.24794434
 453.37092678]"
El Prado.,"[101.28453631 221.76344869 438.56450292 414.8181277  129.03227596
 339.53971153 362.99796778 428.95124333 333.23403856 162.2323055
 217.9332631  313.76667622 273.87315577 423.67975039 432.30928734
 114.5751391  348.21437538 373.61138777 163.36353791 448.60995527
 442.41266124 402.23935098 470.89352987 198.79433226 127.95546975
 211.09664512 351.02949919 394.87210941 107.53288635 289.14144858
 190.88243337 339.95464723 310.89596541 150.83777739 275.90060501
 221.96492998]"
El Recreo.,"[372.36568444 267.73902135 195.33167481 239.70268297 338.64723759
 280.52827213 398.56865533 256.81478698 286.14844449 336.86155854
 275.73698861 436.3313842  355.87922554 456.23461609 185.69284315
 431.43129237 177.21676013 471.479824   414.87019205 466.04231482
 245.58625991 405.90842582 234.37664297 169.88379875 373.18562997
 452.55330201 248.79783599 145.54121195 126.17371536 103.30942806
 118.56064194 390.14333896 176.288985   318.94869913 435.97331977
 461.33406473]"
El Rosario.,"[415.75414204 219.47311707 305.94370562 434.90376403 147.86225053
 247.1532252  342.13775659 449.21257644 253.84234108 251.29533583
 129.78247151 426.58903317 113.02515183 269.78867452 419.54770351
 215.89944794 363.31055722 391.55555446 277.46865008 395.08699559
 435.74329444 294.61826355 213.21684266 430.32789747 173.70597667
 154.48516433 482.4059327  230.89929576 137.62701753 445.99675829
 257.83597887 492.95657146 238.27345426 353.73799836 238.92316347
 216.62239426]"
El Tabor.,"[136.43692492 411.37935086 301.9731402  242.26587991 164.34420766
 418.54418349 356.8291854  306.5005941  286.13787971 341.10796568
 315.64503068 184.78971371 151.08980892 204.26979381 221.97098471
 361.31337623 497.26657026 361.23540175 266.93632988 155.24928796
 417.37279854 226.86621302 434.86024849 474.55713603 172.43937399
 480.64519051 486.50974727 308.01518974 160.92643043 218.58016033
 182.49515145 318.496418   169.40250339 444.37201324 418.0058904
 358.93627713]"
Granadillo.,"[493.94454648 262.20768767 119.048593   404.80179856 353.98413975
 411.8858661  200.31806835 184.65263007 336.43757208 499.69305509
 299.75896748 166.26198341 151.3330535  247.18263095 345.92378831
 318.40940695 342.64071852 407.15610253 155.57246917 494.37745533
 444.51190344 435.73533584 395.91857661 146.26807769 240.75953002
 464.52464639 397.55244664 405.73580194 318.4154477  256.86012835
 333.13824983 189.37556029 456.99667194 232.12877944 324.36519157
 458.67399591]"
Zona Industrial Vía 40.,"[467.92780069 455.15520761 291.78118798 127.88031841 386.94173026
 287.72578939 223.1880141  283.81177199 354.19180453 207.50207761
 458.6276946  476.31036178 476.61322924 466.21984029 311.24900995
 476.50471761 453.42503555 453.18783994 215.08669004 240.38798816
 146.23227787 227.2414787  326.8382134  322.27059454 203.59520202
 210.7562455  420.9878913  254.6005999  253.47139694 190.71181366
 135.48978511 407.13124918 387.06763416 485.4623191  142.96350422
 314.19129141]"
La Bendición de Dios.,"[261.6864933  296.7405084  222.76906678 265.76231723 143.40391787
 357.62752026 374.68938869 254.69333635 318.21240932 146.92482124
 416.55790293 199.83924164 491.97176603 268.09713328 269.95818631
 181.39492594 377.26402033 396.20845729 460.36578732 391.27116964
 484.42316466 161.83469681 132.91012557 274.67443235 239.20886089
 290.55580541 359.97009381 447.67666596 122.54979472 228.03443705
 445.56779485 359.30430595 246.02925215 132.94503407 334.70061594
 208.60040885]"
La Campiña.,"[134.77669778 381.17434819 416.01344498 226.32879794 472.0900409
 290.66155024 426.97763676 260.06621299 199.64224863 236.6713463
 383.47680307 383.02433979 316.33545438 385.04565841 255.78839765
 324.89273413 153.08239515 182.36614769 115.95362351 321.20728754
 175.47871044 474.62268593 339.97665877 450.29028332 204.46855624
 344.81616168 442.82838795 360.62866017 438.64527321 382.76770364
 195.92073664 464.01584349 238.82868625 440.69688182 353.44681223
 426.27490241]"
La Concepción.,"[205.09106903 124.45074189 151.67185924 162.26888096 286.65370839
 373.94166408 273.94893595 147.31968568 346.02333056 179.95911219
 475.94557323 348.92054196 376.35513138 196.03960335 339.13346858
 350.56285433 242.9869654  263.64012375 312.98910738 387.81624346
 294.95039195 270.25276032 297.33083105 328.47513877 241.12507971
 482.06587156 146.26985375 252.61260637 374.83684921 428.28271307
 213.29579797 425.94881549 401.20661162 447.81719059 441.92900681
 230.64538082]"
La Cumbre.,"[138.164234   228.13077279 259.917833   449.96174335 490.85656658
 222.94992285 177.7584057  429.28607291 361.45937631 317.82738465
 107.9693376  162.40937965 279.72706747 303.56374403 183.19496411
 346.63634439 228.30687621 139.1116223  372.07906839 195.60058924
 300.21389453 462.22808446 469.86592453 467.28394659 409.26310613
 342.83908251 169.98940531 193.43261086 269.15617422 192.24140358
 439.46920297 335.93500432 467.98598918 361.96292387 375.62321488
 310.77704342]"
La Felicidad.,"[224.00456692 372.94051213 429.12503435 371.81071992 129.67523068
 182.17008705 160.30984061 481.12908475 184.07899545 358.15614759
 145.34611628 134.28880541 266.3922232  102.98811982 314.66609922
 223.52298542 333.69098147 380.97055155 219.47969241 372.76634529
 272.38528243 421.05174023 311.02601707 412.19597255 190.69416657
 339.9291866  155.04368584 274.60550148 255.15115772 356.06830826
 220.65250329 357.40862048 223.38564238 208.70716612 227.9170024
 463.27756236]"
La Loma.,"[232.84690032 214.36688118 352.55068188 325.8961378  234.49584389
 454.01056338 164.55971192 492.9540935  430.43577178 353.75662133
 297.59054813 389.2112127  271.46723484 336.77647182 270.14341907
 303.3670585  227.07243035 372.26276577 167.49763448 249.91924853
 236.12960287 292.43783076 210.9771273  357.58931393 391.82559612
 454.83448777 496.90057971 216.99326446 193.86010779 379.41859198
 188.17846536 178.46284924 493.97921055 165.80148905 417.84713127
 401.73626066]"
